Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,Demo flights,logistics,Crewed missions,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Crewed,Test vehicles,Unflown,Orbital,Atmospheric,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
97,CCAFS,GPS III,"4,311 kg",MEO,USSF,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,5 November 2020,5 November 2020
98,KSC,Crew-1,"~12,500 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,16 November 2020,16 November 2020
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,21 November 2020,21 November 2020
100,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,25 November 2020,25 November 2020
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,6 December 2020,6 December 2020
102,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,13 December 2020,13 December 2020
103,KSC,NROL-108,C,LEO,NRO,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,19 December 2020,19 December 2020
104,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,8 January 2021,8 January 2021
105,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1051.8,Success,20 January 2021,20 January 2021
106,CCSFS,Transporter-1,"~5,000 kg",SSO,Various,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1058.5,Success,24 January 2021,24 January 2021
107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,4 February 2021,4 February 2021
108,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Failure,16 February 2021,16 February 2021
109,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,4 March 2021,4 March 2021
110,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,11 March 2021,11 March 2021
111,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,14 March 2021,14 March 2021
112,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1060.6,Success,24 March 2021,24 March 2021
113,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,7 April 2021,7 April 2021
114,KSC,Crew-2,"~13,000 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1061.2,Success,23 April 2021,23 April 2021
115,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1060.7,Success,29 April 2021,29 April 2021
116,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1049.9,Success,4 May 2021,4 May 2021
117,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1051.10,Success,9 May 2021,9 May 2021
118,KSC,Starlink,"~14,000 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1058.8,Success,15 May 2021,15 May 2021
119,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1063.2,Success,26 May 2021,26 May 2021
120,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1067.1,Success,3 June 2021,3 June 2021
